tailingsCentroid
"{""type"":""Point"",""coordinates"":[-110.74534339759423,33.07845038104353]}"
"{""type"":""Point"",""coordinates"":[-110.73733300334099,33.08075913075174]}"
"{""type"":""Point"",""coordinates"":[-110.73348060386428,33.07947452111765]}"
"{""type"":""Point"",""coordinates"":[-110.84191417009505,33.43505079453954]}"
"{""type"":""Point"",""coordinates"":[-110.99363038790898,33.41882022481496]}"
"{""type"":""Point"",""coordinates"":[-110.84916835446607,33.44584790940579]}"
"{""type"":""Point"",""coordinates"":[-110.82396485281659,33.39911391356332]}"
"{""type"":""Point"",""coordinates"":[-110.7363482601994,33.07692030750282]}"
"{""type"":""Point"",""coordinates"":[-110.89389478159556,33.445220975702256]}"
"{""type"":""Point"",""coordinates"":[-110.88772005707467,33.44264402115851]}"
"{""type"":""Point"",""coordinates"":[-110.73223481597523,33.07712687815484]}"
"{""type"":""Point"",""coordinates"":[-110.9806977575149,33.39819821425991]}"
"{""type"":""Point"",""coordinates"":[-110.74102222292616,33.074444383465405]}"
"{""type"":""Point"",""coordinates"":[-110.98479576218239,33.408043497677184]}"
"{""type"":""Point"",""coordinates"":[-110.79335272138695,33.410616015818526]}"
"{""type"":""Point"",""coordinates"":[-110.74606415062098,33.07536604543264]}"
"{""type"":""Point"",""coordinates"":[-110.73850579282734,33.079831053244924]}"
"{""type"":""Point"",""coordinates"":[-110.83983334366604,33.43625288636805]}"
"{""type"":""Point"",""coordinates"":[-110.73458049310027,33.074193197403595]}"
"{""type"":""Point"",""coordinates"":[-110.82482199034351,33.39733121589907]}"
"{""type"":""Point"",""coordinates"":[-110.74256155524652,33.056641160925736]}"
"{""type"":""Point"",""coordinates"":[-110.8035020640282,33.42302473791644]}"
"{""type"":""Point"",""coordinates"":[-110.78920681287457,33.41091740844855]}"
"{""type"":""Point"",""coordinates"":[-110.79939548985054,33.421966262167565]}"
"{""type"":""Point"",""coordinates"":[-110.82971335611836,33.40005227266906]}"
"{""type"":""Point"",""coordinates"":[-110.78507107754061,33.40851629307084]}"
"{""type"":""Point"",""coordinates"":[-110.80088829898696,33.41713261918166]}"
"{""type"":""Point"",""coordinates"":[-110.80286546114918,33.41815285758106]}"
"{""type"":""Point"",""coordinates"":[-110.79886869551076,33.415828601856816]}"
"{""type"":""Point"",""coordinates"":[-110.79564979118379,33.41676839469131]}"
"{""type"":""Point"",""coordinates"":[-110.79907683370539,33.42173995283444]}"
"{""type"":""Point"",""coordinates"":[-111.02377692943693,32.01443769262005]}"
"{""type"":""Point"",""coordinates"":[-111.02372086021511,32.005808040326926]}"
"{""type"":""Point"",""coordinates"":[-111.02376240131692,32.02337024724785]}"
"{""type"":""Point"",""coordinates"":[-111.02116847918941,31.96494702264035]}"
"{""type"":""Point"",""coordinates"":[-111.0431927569438,31.97927025198005]}"
"{""type"":""Point"",""coordinates"":[-111.06761842449052,31.849926417906726]}"
"{""type"":""Point"",""coordinates"":[-111.89474253644075,32.50374683417675]}"
"{""type"":""Point"",""coordinates"":[-110.96245903449103,31.998316042546]}"
"{""type"":""Point"",""coordinates"":[-112.8297358577331,32.39691855198992]}"
"{""type"":""Point"",""coordinates"":[-110.96293582646607,31.99830893875994]}"
"{""type"":""Point"",""coordinates"":[-110.9984670797581,31.95165783877462]}"
"{""type"":""Point"",""coordinates"":[-110.9619299641268,31.998316908240245]}"
"{""type"":""Point"",""coordinates"":[-111.05444028330187,31.86545017765888]}"
"{""type"":""Point"",""coordinates"":[-111.03654436755836,31.843832281833045]}"
"{""type"":""Point"",""coordinates"":[-111.08599381000991,31.98772617061728]}"
"{""type"":""Point"",""coordinates"":[-111.03554843009765,31.916890179569556]}"
"{""type"":""Point"",""coordinates"":[-111.01458315473892,31.907013742959943]}"
"{""type"":""Point"",""coordinates"":[-111.0069345570197,31.96545574242136]}"
"{""type"":""Point"",""coordinates"":[-111.89292103535563,32.50497839241448]}"
"{""type"":""Point"",""coordinates"":[-111.06860447700828,31.863133962194485]}"
"{""type"":""Point"",""coordinates"":[-110.96329288730976,31.999527163941824]}"
"{""type"":""Point"",""coordinates"":[-112.14133965614414,32.07142564191601]}"
"{""type"":""Point"",""coordinates"":[-111.48520737918676,32.38894885701801]}"
"{""type"":""Point"",""coordinates"":[-111.91334912926831,32.48821520534822]}"
"{""type"":""Point"",""coordinates"":[-111.18390357967388,32.363295603020454]}"
"{""type"":""Point"",""coordinates"":[-111.89217142712378,32.495729115284504]}"
"{""type"":""Point"",""coordinates"":[-111.1456245547968,32.40697614130038]}"
"{""type"":""Point"",""coordinates"":[-111.91155109854682,32.488100931973605]}"
"{""type"":""Point"",""coordinates"":[-111.89127525271319,32.50292176613661]}"
"{""type"":""Point"",""coordinates"":[-111.4709021794123,32.38508105258777]}"
